ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,CONTESTOSENZADISTURBI,VICINANZADISCARICA,VICINANZAINDUSTRIEINQUINANTI,VICINANZAACQUEINQUINANTI,VICINANZAFONTIINQUINAMENTOATMOSFERICO,VICINANZAFONTIINQUINAMENTOACUSTICO,VICINANZASORGENTIRADIAZIONIELETTROMAGNETICHE,VICINANZACIMITERI,VICINANZAALTRIDISTURBI,CRITICITASPECIFICHEAREASCOLASTICA,ASSENZAPIAZZOLAADEGUATA,AREANONRECINTATA,PRESENZAGRANDETRAFFICO,PRESENZATRANSITOFERROVIARIO,PREESISTENZEINDUSTRIALIABBANDONATE,ZONAURBANADEGRADATA,VICINANZAINDUSTRIEARISCHIO,ALTRECRITICITASPECIFICHE
202223,FEAA81704V,0380040056,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,ORAA81203T,0950270106,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,RMIC8BP00C,0580913324,SI,NO,NO,NO,NO,NO,SI,NO,_,SI,NO,NO,NO,NO,NO,NO,NO,_
202223,GOTE00701V,0310070042,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,CAAA890022,0920800068,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,MCIC82200Q,0430330158,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,SI,NO,NO,NO,NO,NO,_
202223,BAEE076003,0720110390,SI,NO,NO,NO,NO,SI,NO,NO,_,SI,NO,NO,SI,NO,NO,NO,NO,_
202223,PNEE81102N,0930220001,SI,NO,NO,NO,NO,SI,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,TOTF01201A,0011250018,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,CSMM899015,0780030435,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,_,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,_
202223,ATEE80806D,0050710001,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,CAMM824049,1110401374,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,KREE81101D,1010100818,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,BLAA83305Q,0250212058,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,SSEE83805N,0900640175,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,CSRI07302R,0780811054,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,MIPS13000N,0151181463,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,TORH02901B,0012720425,SI,NO,NO,NO,NO,SI,SI,NO,zona posta dep. Gen. - dep. Amiat - camion,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,GEPS030003,0100250391,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,TPEE82001L,0810114208,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,SITF00801C,0520220018,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,BSEE87001N,0170630049,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
