CodiceScuola,Alunni,Hand,Classi,annoScolastico
CTEE8AB03Q,173,15,10,2021-2022
CTEE8AC01D,293,11,15,2021-2022
CTEE8AC02E,90,0,3,2021-2022
CTEE8AD019,185,28,10,2021-2022
CTEE8AD02A,318,48,15,2021-2022
CTEE8AE015,104,12,5,2021-2022
CTEE8AE026,96,5,5,2021-2022
CTEE8AE037,67,6,5,2021-2022
CTEE8AF011,186,21,11,2021-2022
CTEE8AF022,108,12,6,2021-2022
CTEE8AF033,125,16,8,2021-2022
CTEE8AG01R,72,4,4,2021-2022
CTEE8AG02T,313,25,16,2021-2022
CTEE8AH01L,99,10,5,2021-2022
CTEE8AH02N,110,9,5,2021-2022
CTEE8AH03P,205,9,10,2021-2022
CTEE8BB018,293,22,14,2021-2022
CTEE8BB029,99,11,6,2021-2022
ENEE82803L,217,5,13,2021-2022
AGEE819035,107,2,5,2021-2022
PAEE81702A,23,0,2,2021-2022
PAEE8AJ01A,323,7,16,2021-2022
PAEE8AJ02B,150,7,9,2021-2022
ENEE82802G,216,11,14,2021-2022
ENEE81801X,67,2,5,2021-2022
PAEE82901G,229,10,13,2021-2022
MEEE813029,16,0,1,2021-2022
MEEE81303A,55,1,4,2021-2022
RGEE80601N,78,2,5,2021-2022
RGEE80602P,30,1,3,2021-2022
RGEE80603Q,200,2,11,2021-2022
PAEE82301L,62,2,5,2021-2022
AGEE812029,105,2,6,2021-2022
PAEE812027,134,3,10,2021-2022
PAEE846019,447,17,23,2021-2022
PAEE84602A,93,1,5,2021-2022
PAEE8BD01C,133,4,10,2021-2022
RGEE01401N,399,18,20,2021-2022
RGEE80501T,109,8,7,2021-2022
RGEE816018,262,9,12,2021-2022
RGEE83601D,97,0,4,2021-2022
RGEE83602E,566,12,26,2021-2022
AGEE83204L,29,2,3,2021-2022
MEEE84204B,15,0,1,2021-2022
PAEE82305R,35,3,3,2021-2022
PAEE8A9011,401,22,24,2021-2022
PAEE8A9022,86,4,5,2021-2022
TPEE80901T,82,2,4,2021-2022
TPEE80903X,132,7,7,2021-2022
CLEE815025,167,5,10,2021-2022
ENEE81501C,126,4,8,2021-2022
ENEE81502D,86,4,6,2021-2022
ENEE82001X,69,4,4,2021-2022
ENEE820021,354,12,19,2021-2022
ENEE82101Q,242,6,14,2021-2022
ENEE82102R,93,4,6,2021-2022
TPEE03501B,228,10,12,2021-2022
TPEE03504E,341,12,17,2021-2022
TPEE831013,71,12,5,2021-2022
TPEE831024,421,16,22,2021-2022
TPEE83501A,174,10,10,2021-2022
TPEE83502B,150,3,9,2021-2022
TPEE83503C,42,3,4,2021-2022
MEEE857056,74,3,6,2021-2022
MEEE857067,25,0,2,2021-2022
AGEE83101N,98,2,5,2021-2022
AGEE83102P,144,2,8,2021-2022
AGEE83103Q,38,5,3,2021-2022
AGEE83104R,88,9,5,2021-2022
AGEE85801N,147,11,9,2021-2022
AGEE85804R,143,3,9,2021-2022
AGEE85901D,296,10,17,2021-2022
AGEE86101D,348,11,19,2021-2022
AGEE86102E,179,2,9,2021-2022
TPEE80501E,4,0,1,2021-2022
TPEE80504N,88,7,5,2021-2022
SREE86401E,97,4,6,2021-2022
PAEE8A501N,438,27,25,2021-2022
PAEE8A502P,274,15,15,2021-2022
MEEE83905L,23,1,2,2021-2022
MEEE83703V,60,1,5,2021-2022
CTEE82601G,71,3,4,2021-2022
CTEE82603N,95,3,5,2021-2022
CTEE82604P,165,6,10,2021-2022
CTEE82605Q,67,2,5,2021-2022
MEEE83808X,8,0,1,2021-2022
SREE82101L,176,9,9,2021-2022
SREE82102N,142,11,8,2021-2022
SREE82103P,101,4,5,2021-2022
SREE824014,346,30,19,2021-2022
SREE82501X,347,20,18,2021-2022
MEEE81603T,11,0,1,2021-2022
MEEE81604V,6,1,1,2021-2022
MEEE886056,20,2,2,2021-2022
MEEE835026,154,5,9,2021-2022
SREE86301P,310,14,15,2021-2022
SREE86302Q,223,7,11,2021-2022
MEEE84703D,12,0,1,2021-2022
MEEE83201N,114,2,8,2021-2022
MEEE816061,57,3,5,2021-2022
MEEE816072,105,8,6,2021-2022
MEEE83301D,137,9,8,2021-2022
ENEE818021,108,6,10,2021-2022
MEEE84705G,14,2,2,2021-2022
MEEE84706L,46,2,4,2021-2022
MEEE886067,11,0,1,2021-2022
PAEE84501D,66,3,4,2021-2022
PAEE84502E,46,1,3,2021-2022
PAEE84503G,121,3,7,2021-2022
